benchmark,model_a,model_b,common_tasks,pass_a,pass_b,only_a,only_b,both,neither,oracle_gain_over_better,b_rescues_a_failure,a_rescues_b_failure
terminal-bench,anthropic/claude-fruitcake-eap-high,google/gemini-3.5-flash,87,0.7816091954022989,0.7471264367816092,0.13793103448275862,0.10344827586206896,0.6436781609195402,0.11494252873563218,0.10344827586206895,0.47368421052631576,0.5454545454545454
terminal-bench,anthropic/claude-fruitcake-eap-high,grok/v9-carrot,89,0.7865168539325843,0.7640449438202247,0.10112359550561797,0.07865168539325842,0.6853932584269663,0.1348314606741573,0.0786516853932584,0.3684210526315789,0.42857142857142855
terminal-bench,anthropic/claude-fruitcake-eap-high,grok/v9m-exp-0805-row17-47p8-api-medium,87,0.7931034482758621,0.735632183908046,0.13793103448275862,0.08045977011494253,0.6551724137931034,0.12643678160919541,0.08045977011494254,0.3888888888888889,0.5217391304347826
terminal-bench,anthropic/claude-fruitcake-eap-high,openai/gpt-5.5-high,88,0.7840909090909091,0.7727272727272727,0.125,0.11363636363636363,0.6590909090909091,0.10227272727272728,0.11363636363636365,0.5263157894736842,0.55
terminal-bench,anthropic/claude-fruitcake-eap-high,openai/gpt-5.6-luna,88,0.7840909090909091,0.7840909090909091,0.10227272727272728,0.10227272727272728,0.6818181818181818,0.11363636363636363,0.10227272727272729,0.47368421052631576,0.47368421052631576
terminal-bench,anthropic/claude-fruitcake-eap-high,openai/iris-alpha,89,0.7865168539325843,0.8314606741573034,0.06741573033707865,0.11235955056179775,0.7191011235955056,0.10112359550561797,0.0674157303370786,0.5263157894736842,0.4
terminal-bench,anthropic/claude-fruitcake-eap-high,openai/iris-alpha-code-mode,89,0.7865168539325843,0.8202247191011236,0.0898876404494382,0.12359550561797752,0.6966292134831461,0.0898876404494382,0.0898876404494382,0.5789473684210527,0.5
terminal-bench,anthropic/claude-fruitcake-eap-high,openai/joule-alpha-high,88,0.7840909090909091,0.8181818181818182,0.09090909090909091,0.125,0.6931818181818182,0.09090909090909091,0.09090909090909083,0.5789473684210527,0.5
terminal-bench,anthropic/claude-fruitcake-eap-high,openai/kindle-alpha,89,0.7865168539325843,0.8314606741573034,0.0898876404494382,0.1348314606741573,0.6966292134831461,0.07865168539325842,0.0898876404494382,0.631578947368421,0.5333333333333333
terminal-bench,google/gemini-3.5-flash,grok/v9-carrot,87,0.7471264367816092,0.7586206896551724,0.08045977011494253,0.09195402298850575,0.6666666666666666,0.16091954022988506,0.08045977011494254,0.36363636363636365,0.3333333333333333
terminal-bench,google/gemini-3.5-flash,grok/v9m-exp-0805-row17-47p8-api-medium,85,0.7647058823529411,0.7294117647058823,0.11764705882352941,0.08235294117647059,0.6470588235294118,0.15294117647058825,0.08235294117647063,0.35,0.43478260869565216
terminal-bench,google/gemini-3.5-flash,openai/gpt-5.5-high,87,0.7471264367816092,0.7816091954022989,0.08045977011494253,0.11494252873563218,0.6666666666666666,0.13793103448275862,0.08045977011494243,0.45454545454545453,0.3684210526315789
terminal-bench,google/gemini-3.5-flash,openai/gpt-5.6-luna,86,0.7558139534883721,0.7790697674418605,0.11627906976744186,0.13953488372093023,0.6395348837209303,0.10465116279069768,0.11627906976744184,0.5714285714285714,0.5263157894736842
terminal-bench,google/gemini-3.5-flash,openai/iris-alpha,87,0.7471264367816092,0.8390804597701149,0.06896551724137931,0.16091954022988506,0.6781609195402298,0.09195402298850575,0.06896551724137934,0.6363636363636364,0.42857142857142855
terminal-bench,google/gemini-3.5-flash,openai/iris-alpha-code-mode,87,0.7471264367816092,0.8275862068965517,0.06896551724137931,0.14942528735632185,0.6781609195402298,0.10344827586206896,0.06896551724137934,0.5909090909090909,0.4
terminal-bench,google/gemini-3.5-flash,openai/joule-alpha-high,87,0.7471264367816092,0.8275862068965517,0.08045977011494253,0.16091954022988506,0.6666666666666666,0.09195402298850575,0.08045977011494254,0.6363636363636364,0.4666666666666667
terminal-bench,google/gemini-3.5-flash,openai/kindle-alpha,87,0.7471264367816092,0.8390804597701149,0.09195402298850575,0.1839080459770115,0.6551724137931034,0.06896551724137931,0.09195402298850575,0.7272727272727273,0.5714285714285714
terminal-bench,grok/v9-carrot,grok/v9m-exp-0805-row17-47p8-api-medium,87,0.7816091954022989,0.735632183908046,0.09195402298850575,0.04597701149425287,0.6896551724137931,0.1724137931034483,0.04597701149425282,0.21052631578947367,0.34782608695652173
terminal-bench,grok/v9-carrot,openai/gpt-5.5-high,88,0.7613636363636364,0.7727272727272727,0.10227272727272728,0.11363636363636363,0.6590909090909091,0.125,0.10227272727272729,0.47619047619047616,0.45
terminal-bench,grok/v9-carrot,openai/gpt-5.6-luna,88,0.7727272727272727,0.7840909090909091,0.07954545454545454,0.09090909090909091,0.6931818181818182,0.13636363636363635,0.07954545454545459,0.4,0.3684210526315789
terminal-bench,grok/v9-carrot,openai/iris-alpha,89,0.7640449438202247,0.8314606741573034,0.06741573033707865,0.1348314606741573,0.6966292134831461,0.10112359550561797,0.0674157303370786,0.5714285714285714,0.4
terminal-bench,grok/v9-carrot,openai/iris-alpha-code-mode,89,0.7640449438202247,0.8202247191011236,0.0898876404494382,0.14606741573033707,0.6741573033707865,0.0898876404494382,0.0898876404494382,0.6190476190476191,0.5
terminal-bench,grok/v9-carrot,openai/joule-alpha-high,88,0.7613636363636364,0.8181818181818182,0.06818181818181818,0.125,0.6931818181818182,0.11363636363636363,0.06818181818181812,0.5238095238095238,0.375
terminal-bench,grok/v9-carrot,openai/kindle-alpha,89,0.7640449438202247,0.8314606741573034,0.0898876404494382,0.15730337078651685,0.6741573033707865,0.07865168539325842,0.0898876404494382,0.6666666666666666,0.5333333333333333
terminal-bench,grok/v9m-exp-0805-row17-47p8-api-medium,openai/gpt-5.5-high,86,0.7325581395348837,0.7790697674418605,0.09302325581395349,0.13953488372093023,0.6395348837209303,0.12790697674418605,0.09302325581395343,0.5217391304347826,0.42105263157894735
terminal-bench,grok/v9m-exp-0805-row17-47p8-api-medium,openai/gpt-5.6-luna,86,0.7325581395348837,0.7906976744186046,0.06976744186046512,0.12790697674418605,0.6627906976744186,0.13953488372093023,0.06976744186046513,0.4782608695652174,0.3333333333333333
terminal-bench,grok/v9m-exp-0805-row17-47p8-api-medium,openai/iris-alpha,87,0.735632183908046,0.8505747126436781,0.04597701149425287,0.16091954022988506,0.6896551724137931,0.10344827586206896,0.04597701149425293,0.6086956521739131,0.3076923076923077
terminal-bench,grok/v9m-exp-0805-row17-47p8-api-medium,openai/iris-alpha-code-mode,87,0.735632183908046,0.8160919540229885,0.034482758620689655,0.11494252873563218,0.7011494252873564,0.14942528735632185,0.03448275862068961,0.43478260869565216,0.1875
terminal-bench,grok/v9m-exp-0805-row17-47p8-api-medium,openai/joule-alpha-high,86,0.7325581395348837,0.8255813953488372,0.05813953488372093,0.1511627906976744,0.6744186046511628,0.11627906976744186,0.05813953488372092,0.5652173913043478,0.3333333333333333
terminal-bench,grok/v9m-exp-0805-row17-47p8-api-medium,openai/kindle-alpha,87,0.735632183908046,0.8390804597701149,0.06896551724137931,0.1724137931034483,0.6666666666666666,0.09195402298850575,0.06896551724137934,0.6521739130434783,0.42857142857142855
terminal-bench,openai/gpt-5.5-high,openai/gpt-5.6-luna,87,0.7701149425287356,0.7816091954022989,0.10344827586206896,0.11494252873563218,0.6666666666666666,0.11494252873563218,0.10344827586206895,0.5,0.47368421052631576
terminal-bench,openai/gpt-5.5-high,openai/iris-alpha,88,0.7727272727272727,0.8295454545454546,0.10227272727272728,0.1590909090909091,0.6704545454545454,0.06818181818181818,0.10227272727272718,0.7,0.6
terminal-bench,openai/gpt-5.5-high,openai/iris-alpha-code-mode,88,0.7727272727272727,0.8181818181818182,0.06818181818181818,0.11363636363636363,0.7045454545454546,0.11363636363636363,0.06818181818181812,0.5,0.375
terminal-bench,openai/gpt-5.5-high,openai/joule-alpha-high,88,0.7727272727272727,0.8181818181818182,0.056818181818181816,0.10227272727272728,0.7159090909090909,0.125,0.05681818181818177,0.45,0.3125
terminal-bench,openai/gpt-5.5-high,openai/kindle-alpha,88,0.7727272727272727,0.8295454545454546,0.10227272727272728,0.1590909090909091,0.6704545454545454,0.06818181818181818,0.10227272727272718,0.7,0.6
terminal-bench,openai/gpt-5.6-luna,openai/iris-alpha,88,0.7840909090909091,0.8295454545454546,0.09090909090909091,0.13636363636363635,0.6931818181818182,0.07954545454545454,0.09090909090909083,0.631578947368421,0.5333333333333333
terminal-bench,openai/gpt-5.6-luna,openai/iris-alpha-code-mode,88,0.7840909090909091,0.8181818181818182,0.06818181818181818,0.10227272727272728,0.7159090909090909,0.11363636363636363,0.06818181818181812,0.47368421052631576,0.375
terminal-bench,openai/gpt-5.6-luna,openai/joule-alpha-high,87,0.7816091954022989,0.8160919540229885,0.08045977011494253,0.11494252873563218,0.7011494252873564,0.10344827586206896,0.08045977011494254,0.5263157894736842,0.4375
terminal-bench,openai/gpt-5.6-luna,openai/kindle-alpha,88,0.7840909090909091,0.8295454545454546,0.10227272727272728,0.14772727272727273,0.6818181818181818,0.06818181818181818,0.10227272727272718,0.6842105263157895,0.6
terminal-bench,openai/iris-alpha,openai/iris-alpha-code-mode,89,0.8314606741573034,0.8202247191011236,0.056179775280898875,0.0449438202247191,0.7752808988764045,0.12359550561797752,0.0449438202247191,0.26666666666666666,0.3125
terminal-bench,openai/iris-alpha,openai/joule-alpha-high,88,0.8295454545454546,0.8181818181818182,0.09090909090909091,0.07954545454545454,0.7386363636363636,0.09090909090909091,0.07954545454545447,0.4666666666666667,0.5
terminal-bench,openai/iris-alpha,openai/kindle-alpha,89,0.8314606741573034,0.8314606741573034,0.07865168539325842,0.07865168539325842,0.7528089887640449,0.0898876404494382,0.0786516853932584,0.4666666666666667,0.4666666666666667
terminal-bench,openai/iris-alpha-code-mode,openai/joule-alpha-high,88,0.8181818181818182,0.8181818181818182,0.07954545454545454,0.07954545454545454,0.7386363636363636,0.10227272727272728,0.07954545454545447,0.4375,0.4375
terminal-bench,openai/iris-alpha-code-mode,openai/kindle-alpha,89,0.8202247191011236,0.8314606741573034,0.07865168539325842,0.0898876404494382,0.7415730337078652,0.0898876404494382,0.0786516853932584,0.5,0.4666666666666667
terminal-bench,openai/joule-alpha-high,openai/kindle-alpha,88,0.8181818181818182,0.8295454545454546,0.07954545454545454,0.09090909090909091,0.7386363636363636,0.09090909090909091,0.07954545454545447,0.5,0.4666666666666667
